Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch
Bulgaria,24/07/2003,BB+,B,positive,BBB-,positive
Bulgaria,29/10/2002,BB,B,positive,BB+,positive
Bulgaria,14/01/2002,BB-,B,stable,BB,stable
Bulgaria,21/09/2000,B+,B,positive,BB,positive
Bulgaria,17/04/1998,B+,B,,BB,
Cameroon,30/05/2012,B,B,stable,B,stable
Cameroon,6/03/2007,B,B,stable,B-,stable
Cameroon,12/06/2006,B,B,stable,CCC,positive
Cameroon,21/12/2005,B-,B,positive,CCC,positive
Cameroon,4/11/2005,B-,B,positive,CCC+,positive
Cameroon,15/02/2005,B-,B,stable,CCC+,stable
Cameroon,5/07/2004,B,B,Rating Watch Negative,B,Rating Watch Negative
Cameroon,4/09/2003,B,B,stable,B,stable
Canada,12/08/2004,AAA,F1+,stable,AAA,stable
Canada,3/04/2001,AA+,F1+,stable,AAA,stable
Canada,21/09/2000,AA,F1+,stable,AAA,stable
Canada,26/10/1995,AA,F1+,,AAA,
Canada,10/08/1994,AA,,,-,
Cabo Verde,22/06/2009,B+,B,stable,BB-,stable
Cabo Verde,11/03/2008,B+,B,positive,BB-,positive
Cabo Verde,15/08/2003,B+,B,stable,BB-,stable
Chile,1/02/2011,A+,F1,stable,AA-,stable
Chile,10/11/2008,A,F1,stable,A+,stable
Chile,15/05/2007,A,F1,positive,A+,positive
Chile,28/03/2005,A,F1,stable,A+,stable
Chile,2/02/2004,A-,F1,positive,A+,stable
Chile,24/02/2003,A-,F1,stable,A+,stable
Chile,21/09/2000,A-,F1,stable,AA-,stable
Chile,3/12/1997,A-,F1,,AA-,
Chile,25/11/1996,A-,F1,,AA,
Chile,26/10/1995,A-,F1,,-,
Chile,30/08/1995,A-,,,-,
Chile,10/11/1994,BBB+,,,-,
China,12/04/2011,A+,F1,stable,AA-,negative
China,6/11/2007,A+,F1,stable,AA-,stable
China,13/09/2006,A,F1,positive,A+,positive
China,17/10/2005,A,F1,stable,A+,stable
China,13/10/2003,A-,F1,positive,A,stable
China,6/12/2001,A-,F1,stable,A,stable
China,21/09/2000,A-,F1,stable,-,stable
China,22/12/1998,A-,F1,,-,
China,11/12/1997,A-,,,-,
Colombia,22/06/2011,BBB-,F3,Stable,BBB,Stable
Colombia,21/10/2010,BB+,B,positive,BBB-,positive
Colombia,21/06/2007,BB+,B,stable,BBB-,stable
Colombia,5/06/2006,BB,B,positive,BBB-,stable
Colombia,3/05/2004,BB,B,stable,BBB-,stable
Colombia,29/08/2002,BB,B,negative,BBB-,negative
Colombia,10/01/2002,BB,B,stable,BBB-,stable
Colombia,24/10/2000,BB+,B,negative,BBB,negative
Colombia,21/09/2000,BB+,B,stable,BBB,stable
Colombia,17/03/2000,BB+,B,,BBB,
Colombia,1/09/1999,BBB-,F3,,BBB+,
Colombia,20/03/1998,BBB,F3,,A-,
Colombia,10/08/1994,BBB,,,-,
Costa Rica,4/03/2011,BB+,B,stable,BB+,stable
Costa Rica,4/10/2006,BB,B,stable,BB+,stable
Costa Rica,28/04/2003,BB,B,negative,BB+,negative
Costa Rica,21/09/2000,BB,B,stable,BB+,stable
Costa Rica,11/05/1998,BB,B,,BB+,
Croatia,21/05/2009,BBB-,F3,negative,BBB,negative
Croatia,6/07/2005,BBB-,F3,stable,BBB+,stable
Croatia,8/07/2003,BBB-,F3,positive,BBB+,positive
Croatia,28/06/2001,BBB-,F3,stable,BBB+,stable
Croatia,21/09/2000,BB+,B,positive,BBB,positive
Croatia,29/04/1999,BB+,B,,BBB,
Croatia,17/01/1997,BBB-,F3,,A-,
Cyprus,25/06/2012,BB+,B,negative,BB+,negative
Cyprus,27/01/2012,BBB-,F3,negative,BBB-,negative
Cyprus,16/12/2011,BBB,F3,Rating Watch negative,BBB,Rating Watch negative
Cyprus,10/08/2011,BBB,F3,negative,BBB,negative
Cyprus,31/05/2011,A-,F1,negative,A-,negative
Cyprus,12/07/2007,AA-,F1+,Rating Watch negative,AA-,Rating Watch negative
Cyprus,12/07/2007,AA-,F1+,stable,AA-,stable
Cyprus,4/11/2003,A+,F1,positive,AA,stable
Cyprus,1/02/2002,A+,F1,stable,AA,stable
Czech Republic,13/12/2011,A+,F1,stable,AA-,stable
Czech Republic,4/06/2010,A+,F1,positive,AA-,positive
Czech Republic,4/03/2008,A+,F1,stable,AA-,stable
Czech Republic,26/08/2005,A,F1,stable,A+,stable
Czech Republic,20/06/2003,A-,F2,stable,A,stable
Czech Republic,28/03/2001,BBB+,F2,stable,A,stable
Czech Republic,21/09/2000,BBB+,F2,stable,A+,stable
Czech Republic,22/12/1998,BBB+,F2,,A+,
Czech Republic,24/11/1997,BBB+,F2,,AA-,
Czech Republic,26/10/1995,A-,F1,,-,
Czech Republic,10/08/1995,A-,,,-,
Denmark,10/11/2003,AAA,F1+,stable,AAA,stable
Denmark,29/09/2000,AA+,F1+,stable,AAA,stable
Denmark,21/09/2000,AA+,F1+,positive,AAA,positive
Denmark,26/10/1995,AA+,F1+,,AAA,
Denmark,10/08/1994,AA+,,,-,
Dominican Republic,5/01/2011,B,B,positive,B,positive
Dominican Republic,25/09/2008,B,B,stable,B,stable
Dominican Republic,26/09/2006,B,B,positive,B,positive
Dominican Republic,5/05/2006,B,B,stable,B,stable
Dominican Republic,19/07/2005,B-,B,stable,B,stable
Dominican Republic,11/05/2005,DDD,D,,B,stable
Dominican Republic,5/05/2005,DDD,D,,CCC+,Rating Watch positive
Dominican Republic,21/04/2005,C,C,Rating Watch negative,CCC+,Rating Watch negative
Dominican Republic,30/01/2004,CCC+,C,Rating Watch negative,CCC+,Rating Watch negative
Dominican Republic,24/10/2003,B,B,Rating Watch negative,B,Rating Watch negative
Dominican Republic,8/10/2003,B+,B,Rating Watch negative,B+,Rating Watch negative
Dominican Republic,11/08/2003,B+,B,stable,B+,stable
Ecuador,8/11/2010,B-,B,stable,-,
Ecuador,4/09/2009,CCC,C,stable,-,
Ecuador,16/12/2008,RD,D,,-,
Ecuador,17/11/2008,CCC,C,Rating Watch negative,-,
Ecuador,30/10/2007,CCC,C,stable,-,
Ecuador,23/01/2007,CCC,C,Rating Watch negative,-,
Ecuador,29/08/2005,B-,B,negative,-,
Ecuador,7/10/2004,B-,B,stable,-,
Ecuador,26/09/2003,CCC+,C,stable,-,
