Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Benin,BEN,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,4071379.295,3499556.017,3188945.067,3419086.094,3926332.775,6045459.1,15060614.8,10576618.84,10657131.36,4946649.194,7350843.348,6677603.651,2887620.424,3327382.173,4739662.388,5581986.434,12223027.54,24073852.1,34136304.84,37807255.53,18811260.21,23472577.28,36541708.91,25399653.81,31068641.18,27675855.16,23468478.66,22399914.66,20779404.77,22758074.43,22862667.61,25406273.69,23832923.54,37619965.86,44903447.98,43093161.32,49396598.13,103534410.6,92207439.51,154279358.4,,
Burkina Faso,BFA,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38006086.76,60483071.72,63373889.25,85296006.52,87412533.59,91675967.23,,,,,
Bangladesh,BGD,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,16325216.5,26541654.89,34519474.77,64386031.11,76325132.49,41823337.7,28917202.91,35928428.53,68128448.68,41641720.04,31697501.13,47422596.68,54848636.11,88720173.54,64196919.03,69955909.52,100058959.6,100146527.3,150494145.3,270090800.2,129381581.8,86608016.65,91450285.43,94345261.5,78355796.08,76632902.34,56762508.87,56538596.21,102560560.7,135166828,177418963.6,244052420.2,192318963.2,35233383.1,109613901.4,157841370.8,176980758,132333607.1,125539081.3,
Bulgaria,BGR,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,141000000,182000000,160000000,161000000,173000000,160000000,138000000,115000000,82000000,127000000,120000000,55600000,125100000,92600000,84600000,149700000,181000000,210800000,306267741.8,265351777.2,320834575.5,705630503.2,924386420.8,1297730218,1539332624,1515640459,1581676058,1189394967,1450880129,1119553897,895190000,870210000,928770000,1159280000,1178690000,
Bahrain,BHR,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,45512010.23,66734215.57,76330089.92,106851578.1,112154186,314058159.9,517819150.3,489893618.3,415691490.5,335638298.2,322606383,277925531.9,282180851.1,263031914.9,377659574.5,5496808511,3517553191,2525265957,2283776662,3112500290,4086922657,3815094605,4270986244,4764034782,5118465748,6327901495,3794368815,1678861294,1266579235,2544300684,5015761324,7633655757,10373599246,7088000847,1680094599,1467556944,6821808511,2997606383,3327393617,1952659574,
"Bahamas, The",BHS,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,4500000.005,4000000.004,6900000.007,10900000.01,13000000.01,17000000.02,23800000.02,15300000.02,18800000.01,20400000,19500000,18100000,15300000,236100000,232100000,197900000,103300000,112200000,61200000,75100000,84600000,105700000,147900000,392800000,316900000,184500000,107740145.4,79130000,79740000,96989568,119390000,121270000,113370047,57698000,38760000,55416000,49696000,48010000,59520139.99,
Bosnia and Herzegovina,BIH,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862965833.3,793403197.6,666797362.7,625462608.6,605473168.2,653933107.2,674591782.2,682302415.8,732575917.2,1091887956,1244143189,897776633.9,596659378.3,665327076.9,572028089.3,573676430.5,627857340.1,
Belarus,BLR,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,500000,1900000,74100000,31200000,26800000,20800000,25700000,27000000,45400000,126300000,157600000,168400000,246600000,297100000,660300000,507400000,503300000,705000000,916700000,858600000,900500000,
Belize,BLZ,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,1300000,2900000,9200000,5900000,8000000,9700000,10600000,8300000,6700000,5900000,2879000,2818500,6300000,7450000,7200000,4822533.255,6907206.55,8604459.002,4242537.827,5485429.556,4343114.705,6780946.982,10100416.28,6966637.073,5927294.435,4467700.11,4594972.988,4763314.951,5107495.97,6050809.704,8432933.928,
Bermuda,BMU,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920460000,2431470189,2308653973,1773568770,1734531847,1679278700,1720963587,2337500079,,
Bolivia,BOL,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,12800000,5600000,2500000,8400000,15600000,16200000,8400000,40900000,30000000,17500000,17600000,16200000,18200000,23900000,18800000,24600000,17700000,9200000,18700000,28300000,28600000,98200000,127400000,157300000,139710000,121180000,103240000,71080000,75950000,121228018.7,235442955.2,369835268.3,346424334.1,232650000,81669602.89,136767257,141425675.3,170699580.9,168931185.5,
Brazil,BRA,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,387000000,304000000,380000000,666000000,1279000000,1406000000,1382000000,1487000000,719000000,1256000000,1589000000,967000000,568000000,771000000,1310000000,1157000000,904000000,1118000000,1308000000,2202000000,3457000000,5350000000,5344000000,4914000000,3936000000,3620738000,3279535000,3295248300,3338654400,3198928000,3194314003,6438109643,11492702742,12510818371,8841274000,7405459233,10752880252,10887807937,10070687876,12849188112,
Barbados,BRB,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,7949999.996,7646049.085,7859340.865,10718548.32,12273339.48,14958888.34,13500000,12700000,17650000,22900000,19900000,22000000,20950000,19750000,27400000,26300000,34600000,32100000,29050000,34300000,30050000,38000000,48250000,51450000,57800000,57250000,62850000,69900000,75200000,80150000,84100000,87100000,88769000,92850000,98178976.64,119889241,111072614.5,198249847.9,178547814.9,376746566,235021590,446876171.7,202309169.1,262236021.5,,
