Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Azerbaijan,AZE,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-731242.6,2277819.8,79745530.4,136373995,97966269.6,234959023.4,119710479,294853568.6,561277478.8,657606417.7,525544692.3,638440351.4,951042832.6,1028123570,1943923022,2856634337,4032132416,3132139213,3613796539,7248633761,7890650249,8939127382,7125646339,
Burundi,BDI,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,575000000,801000000,531000000,346975000,-85724999.78,-52949999.49,556525000.5,961451324.1,1291048526,1526150249,1024646522,1991666529,3728907754,7488990723,5333789604,4112613603,3072820413,614202721.4,-2402061555,-2094540822,-1724963908,-144080802.6,3520871874,3639244894,4665874144,10941324524,9980933147,16641810806,23879701575,27713868250,38310297441,46311370174,38358590749,36728069987,22244486975,24901669356,21198491597,6292432919,16795890497,45112726947,37423166967,73873678957,80799713129,1.30568E+11,2.5606E+11,2.64043E+11,2.54447E+11,2.04477E+11,1.97824E+11,2.30618E+11,1.80547E+11,
Belgium,BEL,Net foreign assets (current LCU),FM.AST.NFRG.CN,1854714563,1929095015,1994786799,1965671705,2182615723,2353389572,2210032747,2407046126,2132913071,2322142593,2603600901,3257139974,3660545067,3773860283,3166571183,3885512501,3402295431,2793018475,1602988122,-1119469492,-1662237603,-6614401208,-9505178204,-13149199608,-15128495408,-18227647952,-20357552319,-20384865171,-23814247281,-25675403363,-18455032859,-11547389593,-9948041679,2939249712,-1824640790,-5016646497,-2282155249,3527399484,,,,44401635286,66723548003,80108123314,89513460638,82914965762,79143921311,1.02822E+11,1.03908E+11,1.10248E+11,1.10536E+11,1.07504E+11,1.06183E+11,1.27884E+11,1.36734E+11,
Benin,BEN,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,2390000000,2190000000,2060000000,2320000000,2580000000,1860000000,2380000000,1630000000,4008552800,6150097700,6057551415,4455579885,7042573343,5479951997,6329760525,6286589060,867671721.7,-19275502488,-25423272427,-16001125408,-40159828517,-66474571384,-42572826472,-46858213529,-39603881969,-60194868153,-59421794905,-27334209892,168215026.5,37183091062,61823418306,65736992392,1.52586E+11,1.39108E+11,1.65617E+11,2.0713E+11,1.9827E+11,2.89538E+11,3.46159E+11,4.6919E+11,4.22449E+11,3.95519E+11,3.33469E+11,3.77608E+11,5.25485E+11,6.71945E+11,7.00332E+11,6.57785E+11,7.35182E+11,7.19363E+11,7.92007E+11,9.10536E+11,1.07008E+12,
Burkina Faso,BFA,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,3630000000,3180000000,2810000000,2963000000,3806000000,4191000000,5449000000,6625000000,9633551960,9914719560,10394345260,14053792820,16134821585,14731660657,11358388089,4601355100,-3778271992,-2548663421,-2432366871,-2492006366,-6434447454,4812617705,21898371950,23229084372,44775438492,63209911580,75753360715,62929457724,62487810647,72199195165,86022213759,1.02642E+11,1.56826E+11,2.29121E+11,2.13027E+11,1.95939E+11,1.75934E+11,1.61162E+11,1.38526E+11,1.34576E+11,1.58236E+11,3.4405E+11,2.87621E+11,1.80732E+11,2.36206E+11,4.2348E+11,3.82184E+11,5.74706E+11,6.57749E+11,6.81958E+11,6.80015E+11,5.47674E+11,4.13646E+11,
Bangladesh,BGD,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,594568327.8,885804908.1,1283386179,-578844311.1,-454513714.2,-867636042,-4572015654,-10724001924,-10824885829,980893600.6,-54697267,-2765695215,-2055634074,3019264748,9838460808,230661014.1,10300850463,28794608198,50926772500,76101736766,1.14609E+11,81489029673,66988762174,64459992931,77252944604,82344411823,96066967735,57534223609,83501231686,1.33383E+11,1.64732E+11,1.48144E+11,2.11924E+11,2.93041E+11,3.00461E+11,5.62844E+11,6.42203E+11,6.01693E+11,9.27003E+11,1.27257E+12,1.60094E+12,
Bulgaria,BGR,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-206666579.4,-242025783.5,-340056171.4,-106095748.3,91067771.11,274664088,5226532922,5621882669,6489878470,8135742002,9393954326,9726704885,9874252660,9320698326,12167549408,18276741484,19288526116,13620841414,14624677548,17069031613,21086216245,25440498598,28626293662,35213711492,
Bahrain,BHR,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,17056000,23429000,27405000,35097000,34540000,39678000,49539000,53229475,42432475,93985163.26,141072690.8,161984862.2,166652061.7,209625428.1,232609260,443285047.8,800415770,811467146.6,857571121.1,864200920.4,1096049713,1130791917,1014781106,1194138226,1345284187,1119419418,1024709891,916235813.7,917537476,893387843.7,1025353825,1044234328,992799507.7,1123629202,930899927.1,1245938297,1326210305,1346206250,1334827484,1249997022,1531606689,2270201433,3680944810,2732097934,2131886955,2062022631,1641366539,1705692872,1586384623,2331398494,
"Bahamas, The",BHS,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,25700000,-177700000,-133100000,69200000,-71700000,-89278250,267753300,352209150,240073550,145118531.5,399504624.3,279519935.2,491898260.4,205693748.7,277763571,343813481.4,-92001580,-384714839.4,-938807631.8,-859430388,-1159105532,-1736288414,-1856819769,-1503033750,-122168142.4,-246714268.7,-242607385.6,-264018907.8,-148216499.6,-400485946.5,-55951078.56,-368784172.4,-167803502.8,-106422080.3,-144902916.3,111764667.8,68735531.43,-166958696.7,-123583050.5,-328147871.7,-40817809.7,-72447063.63,-3027590158,1227983.07,-97888118.7,87986058.27,
Bosnia and Herzegovina,BIH,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1984906802,-1911037881,-1273357388,-1050991628,2569266541,2121236739,1928415986,2749250811,2781341225,3756619045,5118968360,3116893868,3685793018,4516735360,5000676823,5096890380,6035391369,7116163586,
Belarus,BLR,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639514662,3159943065,3822688136,9012271363,43008298632,87376425656,4.3249E+11,6.08234E+11,9.02703E+11,1.1619E+12,1.50357E+12,2.64429E+12,1.42348E+12,6.38753E+12,3.09891E+12,8.0019E+12,-2.08877E+12,3.47932E+13,3.05936E+13,-1.32425E+13,-3.93834E+13,
Belize,BLZ,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,4243000,12491000,26287000,15139000,16304000,10290000,-12540789.6,-17335752,-33411613.8,-15818857.58,19089656.8,42126840.8,79487196,117511724.8,160038418.4,98420111.4,65695000,12592784,1324696.24,37561866.49,106211687,95504761.82,59473138.81,145603772.5,267594625.2,310472378.8,299256410.6,253860385.2,191747291.7,251398172.8,274209292,361758073.4,488456271.7,513451867.9,570524651.6,678097812,840837991.1,1028164943,1191627962,
Bermuda,BMU,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Net foreign assets (current LCU),FM.AST.NFRG.CN,-143.2,-113.1,-156.5,-81,86.6,219.55,276.0344,164.6532,128.0308,123.7096,130.5836,31.14169291,478.6326,-151.49314,1833.35081,886.344796,1846.879146,1599.268136,-1617.472136,-6544.72,-8841.54,-15135.30656,-137554.7379,-459220.9583,-6147781.704,-549800000,-408651137,-234571380.4,-310181789.3,-670162887.9,-433822808.7,-298795561.5,-549133039.4,-480195547.8,-856698701.6,-605689465.4,1272790368,1310063428,2463493762,4267114296,6831169751,10461207341,9811750375,11828466016,12973396321,19273640982,32422935640,46223554510,59371841017,67556253698,75924768299,89544307956,1.05257E+11,1.10362E+11,1.18955E+11,
Brazil,BRA,Net foreign assets (current LCU),FM.AST.NFRG.CN,-2.91E-05,-1.96E-05,-0.000155636,-0.000243273,-0.000649455,-0.000641455,-0.000554182,-0.000876727,-0.002117091,-0.002171636,-0.001998182,0.001090909,0.003636364,0.007636364,0.004,-0.000727273,-0.000363636,-0.005818182,-0.002935468,-0.075097042,-0.258654637,-0.78227143,-2.29217479,-10.99863767,-32.07160599,-98.94057559,-231.4976701,-1463.457125,-13919.01295,-193006.8408,-1755646.727,-22082650.23,-157917722.1,-3904066675,15314955968,24677215111,30956241252,14397994540,-12606404527,-12735805497,3713963772,-11271211519,-55125437756,-11465626983,7414156164,78694465995,1.32221E+11,2.35268E+11,3.43074E+11,3.49591E+11,3.76383E+11,4.863E+11,5.51275E+11,6.67192E+11,7.30653E+11,
Barbados,BRB,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,26200000,33200000,51500000,6400000,16400000,7700000,14810000,-19461062.48,-5458293.963,26564984.08,-15838427.3,-33606004.57,14391089.43,41524350.12,68766150.48,-23022706.81,-26237675.14,-44156113.24,-32009664.77,18672776.24,28512541.2,57162304,74196946,-6794868.8,-38631409.2,-116039570,-82605000,-39527866.8,99319971.29,153272512.9,367039988.7,285483165.6,163580493.4,216048881.4,530486979.1,1545178625,1763039344,2031267918,1708407942,1906260822,1821632251,3088500679,1933473725,1790862206,,,,,,
Brunei Darussalam,BRN,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3980206191,6194184891,5462479207,5112082056,6124576585,7889865173,8623391378,7630199794,8141904041,10547552463,8577447643,10932205180,15592984976,14859704177,14047522490,13070612388,
Bhutan,BTN,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,345700000,490200000,595400000,700100000,1076900000,1384400000,1446200000,1487500000,2479900000,1882600000,2811200000,3194900000,4432132111,6583954796,7345625043,10847826830,12905101951,15078094850,14641966368,16952450434,16736835722,17270923106,20955216426,23939401763,25145222682,32790046771,35392695511,38496830914,35247075287,31919360476,47096010740,64618142518,
Botswana,BWA,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,64697425.57,83144778.55,124629173.2,212490453.2,254463354.4,217747336.7,312524066.2,452085751.7,725444169.6,1660461102,2207388990,3160503536,4390257617,5233569361,6343986119,7812891547,8663851853,10523865294,10673399014,12212950283,18657737583,22321156417,27747338735,30051340088,35110489779,42998797423,31024711258,24925286222,25239702307,35868763828,48772729071,60544737659,72780040439,59269739131,52550348515,63609715876,63682390157,71941200769,83252188292,
Central African Republic,CAF,Net foreign assets (current LCU),FM.AST.NFRG.CN,-40000000,-750000000,-170000000,320000000,1410000000,1940000000,1362000000,674000000,1144530619,-524800946.6,439575310.9,-218120670,457564249.9,78462196.57,-5358349824,-5732628922,-797939220,-810655412.2,-3435320800,1969665507,2510352416,4124135109,-210590805.1,1346957721,7498647044,8020913966,11158674049,15941971531,13966112417,19517834940,18942591555,13570490113,12628494410,20253498065,84723328564,91851971879,1.00614E+11,89090646494,65032334281,68088307796,70942094925,56159524781,49258430917,41490346682,43837981260,50119020017,37338640050,25740627046,24400050988,28663770771,10568216907,13326083669,-11407549776,8614037168,51722584832,
Canada,CAN,Net foreign assets (current LCU),FM.AST.NFRG.CN,127609919.7,198946875.6,-157815179.7,444784900.1,1078075500,763904999.3,1520051785,1744321234,1883211360,2729894951,3119228926,1673489269,1283403142,2057151493,3372317632,3603162970,5076078579,3657500850,874968244.9,-3525292061,-5378782480,-24008469355,-20248922157,-22582484477,-24412162700,-25278137383,-19584979773,-21021790938,-19319822075,-16457261941,-19180296375,-25096862321,-23699064860,-23351657630,-25873984187,-5849208000,-9262585744,-29137501634,-29011655226,-7087900148,4366603614,9387698881,10016827145,9846473190,8766817250,7957762398,10954686255,8701449425,12525848760,,,,,,,
Central Europe and the Baltics,CEB,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
