Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belgium,BEL,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11611343346,10790081277,11425529182,7702627141,7545119712,7041317236,-4285527195,-5241225910,7977325573,-5486679678,-234716626.9,-1097281667,-1187871400,
Benin,BEN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,-29272386.24,-53379894.45,-64816773.23,-56663211.33,-90332243,-51851799.28,-35722305.01,-93365958.1,-377165677.7,-134792910.3,-57072020.99,-38952687.96,-52843453.76,-34289873.35,-105492992.8,-13422534.8,-18141163.38,-216384278.8,-72712868.12,-58751760.31,10551783.96,-166966769.2,-40955332.75,-153955311.4,-132511170.2,-155576636.4,-80582741.39,-74926855.1,-156195168.6,-331206772.3,-288492679.2,-226084743.9,-217005443.2,-534057458.8,-536020953.3,-648934554,-530337545.6,-516162493.4,-576968939.1,-673175481.3,,
Burkina Faso,BFA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-634316981.1,-543452619.9,-559994996,-963132957.1,-380038564.3,-181447949.5,,,,,
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,-276313647.4,-280958219.5,-383906631.1,-415947091.7,-702138190.8,-1016620063,-500670224.2,-45800312.9,-477650344.9,-455173414.8,-625181389.2,-237116009.3,-272836596.9,-1099566161,-397909576.6,64593233.33,180790960.4,359263637.7,199568821.5,-823880196.6,-991418975,-286312953.2,-35165989.35,-364355314.2,-305831650.6,-535424727.7,739250272,131637632,-278679383.7,507707732.4,1196063083,856792635,926185438.6,3556126394,2108502537,-161842538.7,2575500681,2058473420,-1677258362,
Bulgaria,BGR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,954000000,122000000,177000000,36000000,535000000,-136000000,-951000000,-720000000,-402000000,-769000000,-1710000000,-76900000,-359900000,-1098800000,-31800000,-25800000,15700000,426900000,-61912460.85,-652131909.3,-703685705.9,-804648255.4,-319039031.1,-1022155147,-1671124320,-3346998840,-5863231595,-11437006354,-11875334885,-4256328503,504410000,606380000,-210120000,983460000,692920000,
Bahrain,BHR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,-203034134.5,-360213095.4,-324023759.2,-387659590.1,-222736117.1,184350017.9,429521277.7,425558511.8,102659574.7,218351064.1,38829787.23,-68882978.72,-201329787.2,192021276.6,-193085106.4,69680851.06,-602659574.5,-826595744.7,-339361711.9,-255585130.2,237382283.2,260424551.9,-31063706.94,-777413136.3,-36879302.82,830185016.5,225932635.8,-49630835.44,200443477.6,471578624.3,1474202077,2187449379,2906574540,2256886835,559975548.8,770071855.5,3247340426,2222074468,2560106383,1123670213,
"Bahamas, The",BHS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,68100000.07,28900000.03,2400000.002,-42900000.04,-75300000.08,-139900000.1,-115400000.1,-100600000.1,-100300000,-2700000,23000000,-54800000,-66500000,-84200000,-36600000,-179800000,35800000,48660000,-42200000,-145900000,-263300000,-472100000,-995400000,-324397720,-632943000,-644960000,-423317708.7,-473510000,-307120000,-700637472.1,-1403710000,-1315098059,-1222077999,-808980000,-814043000,-1203144000,-1504802400,-1493926000,-1529092699,
Bosnia and Herzegovina,BIH,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-345110797.3,-501327188.3,-395690107.6,-742835136.6,-1190656336,-1631046470,-1639327352,-1844398186,-998104072,-1450133147,-2643834901,-1135255485,-1030658645,-1767386070,-1519949832,-998703031.4,-1450500151,
Belarus,BLR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-435000000,-443800000,-458300000,-515900000,-859200000,-1016500000,-193700000,-459100000,-528800000,-325700000,-456100000,-1191900000,458600000,-1387900000,-3012500000,-4958700000,-6132600000,-8280100000,-5052500000,-1862200000,-7567300000,-5197400000,
Belize,BLZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,-5300000,9050000,11950000,9400000,-2600000,-19050000,15350000,-25800000,-28600000,-48500000,-40057000,-17246500,-6645000,-31930000,-59847500,-72792094.89,-161571589.1,-190365259.8,-165323926.7,-184286483.1,-154923751,-151221160.5,-25383981.6,-52089996.96,-144877244.4,-82838728.49,-45736663.04,-19948868.14,-33113119.85,-72586237.49,-135861423.2,
Bermuda,BMU,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252390000,1216066497,906745097.5,581361176.9,695959070.3,867596774.6,926988024.8,840649668.3,,
Bolivia,BOL,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,-53500000,-117900000,-331500000,-397000000,-6400000,-467644936.8,-173625000,-140834000,-177809000,-285300000,-388663000,-432236000,-304396000,-270100000,-198900000,-262600000,-533900000,-505500000,-90200000,-302500000,-379690000,-553500000,-666100000,-488000000,-446349904,-274011530,-351932880.9,75594887.42,337499451.3,622439173.9,1317472317,1591246147,1992699061,813540000,873745670.1,537204935.3,1970039110,1053982417,-16356619.98,
Brazil,BRA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,-6968000000,-6520000000,-5049000000,-6996000000,-10516000000,-12831000000,-11764000000,-16317000000,-6834000000,33000000,-280000000,-5311000000,-1452000000,4156000000,1002000000,-3823000000,-1450000000,6089000000,20000000,-1153000000,-18136000000,-23248000000,-30491000000,-33829000000,-25400000000,-24224529661,-23214529000,-7636629351,4177288492,11737597029,13984655478,13621476250,1550785092,-28192023673,-24305612300,-47273101647,-52480127065,-54246393412,-81108305241,-1.03597E+11,
Barbados,BRB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,-41799999.98,-35141444.14,-43252399.06,-52316723.94,-47827060.99,-41359840.27,-64300000,-51550000,-31450000,-34400000,-16800000,-115400000,-32750000,-35650000,22900000,59600000,13200000,-16300000,48050000,28200000,-7800000,-23600000,156130285,81853027.2,140132597,10174604.2,34077683.4,-94612258.74,-114434034.5,-202470059.3,-213063737,-174713354.9,-229116798.9,-240917979.9,-413088728.4,-465820592.5,-354411349.9,-275760573.2,-475655345.4,-259620267.7,-218412771.3,-254240763.4,-410968761.2,-248161274.7,,
Brunei Darussalam,BRN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951316868,1755703212,2484083056,2882181879,4032630649,5229408432,4828377152,6938901524,3977383595,5016203728,6430078161,5683735283,3778236925,4749609458,
Bhutan,BTN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37902200.9,84937868.85,-112487375.5,-65940668.75,-323097108.1,-526214663.8,-378496302.4,-472383713.9,-483645523.2,
Botswana,BWA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,-35564200.32,-20355005.11,-26960911.46,-115557799,-60613001.2,-151050210.9,-303679167.3,-144610725.5,-78947908.27,-58765840.35,81941938.09,108666489.6,628491474.5,193920170.6,491888911.8,-19296242.56,302934867,197703492.2,426936846.8,221630751.6,299652984,494954771,721431864.9,169705244.8,583453155.3,545193251,678195288.3,286224748.3,683466885,350824046.4,1633883522,1957135357,1651810290,-120495077.3,-648182748.7,-356261579.8,475332603.7,45786663.46,1322160862,2496059557,
Central African Republic,CAF,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,-18894521.01,-22986329.69,-15955123,-43051964.88,-4180369.993,-42642700.16,-29309880.56,-33446332.87,-48615805.95,-86517658.25,-73427464.2,-34608362.8,-33425568.41,-89131983.87,-61770908.32,-83055084.96,-12950157.49,-24675583.81,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1187167555,-1105881078,-1080534821,-841519609.2,-453738657.4,-1657802770,-1578646691,-1278895809,-980736864.1,-1945707338,493682908.2,-1038623270,-2405393534,-2056316198,-4570143531,-8196396521,-7638622417,-7002598692,-8188105390,-8384704410,-6088042791,-12532179053,1796470989,-2522659718,-1373650409,-5839019376,-11351166241,-13711646037,-15284983285,-22215691067,-20259364307,-22874914502,-21719049921,-22353225743,-13907365728,-5061197311,2428398438,-8985367996,-8999794054,821629766,18490581243,15741017746,12533640164,10449536242,23238574998,21910175972,17953526441,11307224323,3470137631,-40341410759,-56626416961,-47809777389,-59942046586,-54665307845,-37474732941,
Central Europe and the Baltics,CEB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,1923841029,2075474342,-245380319,-201108977,3426767759,2534139471,1211923922,6141678667,6038764817,4654467967,6287588785,8845759585,7280896129,6123636015,9534434765,13370612197,16875486425,16729198998,20702527127,19915939191,25316670255,25194278318,28283270188,33625310039,23971094535,27476867898,46767580824,59868179183,57530291987,64220590410,51127372000,16853625115,44442047491,86601323928,53265110619,68588729091,76144617363,51019181605,
Channel Islands,CHI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
